id,nome,link,imagem,categoria
00000000143,Carregador Magnético Sem Fio 360° Rotativo com Sucção A Vácuo 15w Suporte Veicular para iPhone,https://s.shopee.com.br/gNlSE0mVU,143.webp,Auto
00000000144,Câmera Automotiva Carro Caminhão Dvr Full HD com 3 Lentes Segurança,https://s.shopee.com.br/gNlSFVAxB,144.webp,Auto
00000000145,Bicicleta Elétrica Dobrável para Adultos Nuda Pedal Tripulado Compras Ao Ar Livre Viagem,https://s.shopee.com.br/5AqBEKEUGJ,145.webp,Auto
00000000146,Jaqueta Puffer Bobojaco Corta Vento Nylon Frio Reforçada,https://s.shopee.com.br/6AiiRFba4t,146.webp,Vestuario
00000000147,3 Cores em 1 Lustre para Sala Lustre Sala de Jantar Luz Novo Estilo Cozinha Simples e Moderno Quarto 110 220v,https://s.shopee.com.br/9UzB0lFiGo,147.webp,Casa
00000000148,Painel Ripado para Tv Até 60 Polegadas com Nicho Organizador Prateleira Decorativa Quarto Sala Home,https://s.shopee.com.br/20tA52UPbz,148.webp,Casa
00000000149,Aparador Buffet Retrô Pés Palito em Madeira Maciça Esplanada Cantinho do Café Recepção 2 3 4 Portas,https://s.shopee.com.br/6L29F3gXUg,149.webp,Casa
00000000150,Cabeceira Modulada para Cama Ripada em Mdf de 90 Cm Alt Por 87 Cm Larg Fácil Instalação,https://s.shopee.com.br/9AMKcJDu9W,150.webp,Casa
00000000151,Espelho Decorativo de Parede Oval Lapidado Luxuoso 80x50cm Luz de LED Fonte Bivolt Envio Imediato,https://s.shopee.com.br/8fQ41RACGr,151.webp,Casa
00000000152,Kit 3 Porta Retratos 10x15cm A6 com Vidro para Fotos Decorativo Sala Quarto,https://s.shopee.com.br/5AqBr2VVp8,152.webp,Casa
00000000153,Gabinete com Rodizios Banheiro Off White Ripado Armário Ripado Nicho 1 Porta Compacto,https://s.shopee.com.br/6Aij2uVIUx,153.webp,Casa
00000000154,Mesa de Jantar 90x90cm Estilo Industrial Rústico em Madeira P 4 Lugares,https://s.shopee.com.br/3LOXfkEbxe,154.webp,Casa
00000000155,Rack para Tv Até 72 Polegadas Mdf 180cm Pés em Madeira Maciça Vivare Bege Off White Freijó Off White Freijó,https://s.shopee.com.br/1BK35pGqNy,155.webp,Casa
